1823;Em que ano Recife foi elevada a categoria de cidade?;Após crescer como importante centro comercial e portuário, Recife foi oficialmente elevada à categoria de cidade em 1823, tornando-se um dos principais polos econômicos e políticos do Brasil.
1645;Em que ano aconteceu a insurreição Pernambucana?;A Insurreição Pernambucana marcou o início da revolta contra os holandeses. Pernambucanos, indígenas e negros se uniram para recuperar o território dominado pelos invasores.
1648;Em que ano ocorreu a batalha dos Guararapes?;A Batalha dos Guararapes aconteceu em Pernambuco e reuniu portugueses, indígenas e negros na luta contra os holandeses. O conflito é considerado marco da origem do Exército Brasileiro.
1824;Em que ano aconteceu a confederação do Equador?;A Confederação do Equador foi um movimento revolucionário iniciado em Pernambuco contra o governo imperial. O grupo defendia ideias republicanas e maior autonomia política.
1850;Em que ano foi inaugurado o teatro de Santa Isabel?;O Teatro de Santa Isabel foi inaugurado no Recife em 1850 e se tornou um dos maiores símbolos culturais de Pernambuco, recebendo importantes apresentações artísticas.
1990;Em que ano surgiu o movimento Manguebeat?;O Manguebeat surgiu em Pernambuco nos anos 1990, misturando ritmos regionais com rock e música eletrônica. O movimento ficou conhecido nacionalmente através de Chico Science.
1912;Em que ano ocorreu o nascimento de Luiz Gonzaga?;Luiz Gonzaga nasceu em Pernambuco em 1912 e ficou conhecido como o Rei do Baião. Sua música ajudou a divulgar a cultura nordestina para todo o Brasil.
1630;Em que ano ocorreu a invasão holandesa em Pernambuco?;Os holandeses invadiram Pernambuco em 1630 para controlar a produção de açúcar. Recife se tornou o principal centro do domínio holandês no Brasil.
1535;Em que ano ocorreu a fundação de Olinda?;Olinda foi fundada em 1535 e rapidamente se tornou uma das cidades mais importantes do período colonial brasileiro por causa da produção de açúcar.
1817;Em que ano aconteceu a Revolução Pernambucana?;A Revolução Pernambucana foi um movimento republicano contra o domínio português. Pernambuco tentou criar um governo independente baseado em ideias de liberdade e autonomia.
